dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 13",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha13,20110221,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_13_20110221,2011-02-21T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 14",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha14,20111129,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_14_20111129,2011-11-29T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 15",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha15,20110411,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_15_20110411,2011-04-11T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 16",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha16,20111014,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_16_20111014,2011-10-14T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 17",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha17,20111122,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_17_20111122,2011-11-22T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 18",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha18,20120203,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_18_20120203,2012-02-03T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 19",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha19,20121001,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_19_20121001,2012-10-01T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 1",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha1,20091029,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_1_20091029,2009-10-29T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 20",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha20,20120622,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_20_20120622,2012-06-22T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 21",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha21,20121207,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_21_20121207,2012-12-07T00:00:00Z,N/A,
